"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can see availability message after selecting required options of product on product landing page","0","0","1","0","0"
"","As a customer, I can submit a search query in the input field and be taken to a search results page.","[Venus] User can search items up to 10 times by typing product SKU in search query","0","0","1","0","0"
"","As a customer, I can view the product details and description content.","[Venus] User can switch between product description tabs and see description information","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can navigate to full PDP by click on ""View More Details"" CTA on product landing page","0","0","1","0","0"
"","As a customer, I can click on the logo to be taken to the home page.","[Venus] User navigated to homepage by clicking logo in header","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can see large image view by taping + icon on product landing page","0","0","1","0","0"
"","As a customer, I can add product to cart with various parameters from ""Complete the look"" section","[Venus] User can add item to cart from ""Complete the look"" section on PDP after selecting required product options","0","0","1","0","0"
"","As a customer, I can see all the standard product details:","[Venus] As user I want see Product price with/without sale","0","0","1","0","0"
"","As a customer, I can click on the account icon on header to see account navigation links","[Venus] Signed in user can click on the account icon and see modal with account navigation links","0","0","1","0","0"
"","As a customer, I can see custom header or footer call to actions in the hamburger menu above the main menu items.","[Venus] User can see custom header or footer call to actions in the hamburger menu above the main menu items","0","0","1","0","0"
"","As a customer, I can submit a search query in the input field and be taken to a search results page.","[Venus] User navigating to PLP search result page after submitting search query","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can see products with correct info in ""Related products"" section on product landing page","0","0","1","0","0"
"","As a customer, when I'm selecting required product fields, I should see availability message.","[Venus] User can see availability message after selecting required options of product","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can select Waist Size on special product landing page","0","0","1","0","0"
"","As a customer, I should be able to view ""Recently Viewed"" section of a product","[Venus] User can click ""Recently Viewed"" tab and navigate to product page","0","0","1","0","0"
"","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","[Venus] User navigates to Clothing Tops PLP and add random product to back to check stability of PWA","0","0","1","0","0"
"","As a customer, I can click on the ""remove"" link next to a product and remove it from my cart.","[Venus] User can remove any products from cart by taping ""remove"" CTA","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can see ""go to cart"" pop up when adding product to cart from product landing page, and user can navigate to cart page to see added product","0","0","1","0","0"
"","As a customer, I should be able to view ""Recommended For You"" section of a product as a carousel","[Venus] User navigates to PDP from ""Recommended for you"" section up to 10 times to check stability of PWA","0","0","1","0","0"
"","As a customer, I can click on the hamburger menu to open up the mobile navigation.","[Venus] User can see all corresponding menu items in hamburger menu","0","0","1","0","0"
"","As a customer, I can proceed to checkout by clicking an appropriate button.","[Venus] User can proceed to checkout with item in cart by taping appropriate CTA button","0","0","1","0","0"
"","As a customer, I should be able to view ""Complete The Look"" section of a product as a carousel","[Venus] User can see ""Complete The Look"" section with list of related products","0","0","1","0","0"
"","As a customer, I can swipe the product image carousel to see more product images.","[Venus] User can see product images carousel and can swipe images","0","0","1","0","0"
"","As a customer, I should be able to see the cost summary on the page with the following info:","[Venus] User can see summary cost is changing if user change items quantity or removing items from cart","0","0","1","0","0"
"","As a customer, I can click on the shopping bag icon and be taken to the shopping bag page.","[Venus] User can see number of added to cart items near shopping bag icon on header","0","0","1","0","0"
"","As a customer, I can click on the account icon on header to see account navigation links","[Venus] Signed in user can click on the account icon and navigate to Order history form modal with account navigation links","0","0","1","0","0"
"","As a customer, I will be presented with an email sign-up text box, along with a brief description about what I am signing up for and receive an email that I am subscribed to the newsletter.","[Venus] User can subscribe to receive special offers","0","0","1","0","0"
"","As a customer, I can click on the account icon on header to see account navigation links","[Venus] Guest user suggested to sign-in after taping account icon in header","0","0","1","0","0"
"","As a customer, I can view the product details and description content.","[Venus] User can see product details content","0","0","1","0","0"
"","As a customer, I can see my login status at the top of the navigation.","[Venus] User can see login status on header","0","0","1","0","0"
"","As a customer, clicking on any of the products should bring me to the destination screen extremely fast.","[Venus] User choose new PLP and then navigates to PDP up to 10 times to check stability of PWA","0","0","1","0","0"
"","As a customer, I need to see my current page location based on the navigation hierarchy so I can quickly go back to the previous page sections using breadcrumbs.","[Venus] User can see current page location based on the navigation hierarchy","0","0","1","0","0"
"","As a customer, I can click on the shopping bag icon and be taken to the shopping bag page.","[Venus] User navigated to cart page by clicking shopping bag icon on header","0","0","1","0","0"
"","As a customer, I can click on the search icon to display the search input field.","[Venus] User can close search modal","0","0","1","0","0"
"","As a customer, I can proceed to checkout by clicking an appropriate button.","[Venus] Logged in user navigated to ""Delivery"" checkout page by taping appropriate CTA button on cart page","0","0","1","0","0"
"","As user I want to shop items by style","[Venus] User can navigate to expected PLP from Shop by Style page","0","0","1","0","0"
"","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","[Venus] User navigates to Boots sale PLP and add random product to back to check stability of PWA","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can select product size on product landing page","0","0","1","0","0"
"","As a customer, I can select the size and width of the product.","[Venus] User can select product size on product page","0","0","1","0","0"
"","As a customer, I can click on the account icon on header to see account navigation links","[Venus] Signed in user can click on the account icon and make logout form modal with account navigation links","0","0","1","0","0"
"","As a customer, I can navigate through the total product results through pagination links","[Venus] User can navigate through the total product results through pagination links","0","0","1","0","0"
"","As a customer, I should be directed onto the correct page(s) after clicking on ""CTA button(s)"" or/and ""Banner(s)"" on the home page.","[Venus] User can see hero images and CTAs on home page","0","0","1","0","0"
"","As a customer, I should see the top level category list underneath the carousel and can tap these category names to be directed to the appropriate screen.","[Venus] User can navigate through the site pages by taping corresponding element on quick navigation panel","0","0","1","0","0"
"","As a customer, I can click on the hamburger menu to open up the mobile navigation.","[Venus] User can navigate to product list page","0","0","1","0","0"
"","As a customer, I can select the size and width of the product.","[Venus] User can select Inseam size on special product page","0","0","1","0","0"
"","As a customer, I can click on the account icon on header to see account navigation links","[Venus] Signed in user can click on the account icon and navigate to Account info form modal with account navigation links","0","0","1","0","0"
"","As user I want to shop items by style","[Venus] Subcategory filter navigates to expected PLP","0","0","1","0","0"
"","As a customer, I can click on the account icon on header to see account navigation links","[Venus] Signed in user can click on the account icon and navigate to Mail options form modal with account navigation links","0","0","1","0","0"
"","As a customer, I can select qty of the product.","[Venus] User can select select qty of the product","0","0","1","0","0"
"","As a customer, clicking on any of the products should bring me to the destination screen extremely fast.","[Venus] Clicking on any of the products should bring me to the destination screen extremely fast.","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can navigate to expected PDP by click on item from ""Related products"" section on product landing page","0","0","1","0","0"
"","As a customer, I can adjust the quantity of a product from 0 to 10 from a dropdown list. Item quantity will be updated right after selection has been made.","[Venus] User can change quantity of a product from 1 to 10","0","0","1","0","0"
"","As a customer, I can filter search result product listing by all available options.","[Venus] User can filter search result product listing by size option","0","0","1","0","0"
"","As a customer, I can see all available menu items, navigate through different menu sections, and be directed to the destination page after tapping the desired item.","[Venus] User can navigate through the site pages by taping corresponding element on category selection pop-up","0","0","1","0","0"
"","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","[Venus] User navigates to Jumpsuit and Rompers PLP and add random product to back to check stability of PWA","0","0","1","0","0"
"","As a customer, I should see a quick navigation bar underneath the main header which allows me to jump to relevant sections. This quick navigation bar includes the following:","[Venus] User can click each item in quick navigation bar underneath the main header to be navigated to appropriate page","0","0","1","0","0"
"","As a customer, I will be suggested to sign-in when I attempt to favorite a product without signing in on PDP.","[Venus] Guest user is suggested to sign-in after taping on ""favorites"" button on PDP page","0","0","1","0","0"
"","As a customer, I can filter search result product listing by all available options.","[Venus] User can filter the product listing by multiple available options.","0","0","1","0","0"
"","As a customer, I should be able to see a list of products with:","[Venus] User can see list of added to cart products with corresponding information","0","0","1","0","0"
"","As a customer, I will need to select different sub-categories under a parent product listing page as applicable.","[Venus] User can see different sub-categories under a parent product listing page as applicable","0","0","1","0","0"
"","As a customer, I can tap on a ""+"" icon on product image to see a larger view and allow for pinch/zoom/pan.","[Venus] User can see large image view by taping + icon on product image","0","0","1","0","0"
"","As a customer, I can click on the shopping bag icon and be taken to the shopping bag page.","[Venus] User navigating to empty cart page by taping empty shopping bag icon on header","0","0","1","0","0"
"","As a customer, I can see custom header or footer call to actions in the hamburger menu above the main menu items.","[Venus] User can navigate to each appropriate page by clicking on custom header or footer call to actions in the hamburger menu above the main menu items","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can add to product to cart after selecting product options on product landing page","0","0","1","0","0"
"","As a customer, I should be able to view ""Recommended For You"" section of a product as a carousel","[Venus] User can see ""Recommended for you"" product carousel","0","0","1","0","0"
"","As a customer, I can see all the standard product details:","[Venus] User can see product details on PDP","0","0","1","0","0"
"","As a customer, I want to see appropriate content on empty cart page","[Venus] User can see appropriate content on empty cart page","0","0","1","0","0"
"","As a customer, I want to see appropriate content on empty cart page","[Venus] ""Continue shopping"" button navigates to home page","0","0","1","0","0"
"","As a customer, after I've selected my product options (eg. color and size), I can click on ""Add to Bag"" to add the product to my bag/cart.","[Venus] User can see ""go to cart"" pop up when adding product to cart, and user can navigate to cart page to see added product","0","0","1","0","0"
"","As a customer, I can navigate through the total product results through pagination links","[Venus] User see additional list of unique items after tapping pagination link on search result PLP. Items are different then in previous list","0","0","1","0","0"
"","As a customer, I should be able to view ""Recommended For You"" section of a product as a carousel","[Venus] User can swipe ""Recommended for you"" product carousel and be navigated to related PDP by taping on product image","0","0","1","0","0"
"","As user I want shop items by color","[Venus] User can click on color image to navigate to expected PLP","0","0","1","0","0"
"","As a customer, I can see the number of cart items currently in my shopping cart.","[Venus] User does not see number of items near shopping cart in header if cart is empty","0","0","1","0","0"
"","As customer I want to see 6 instagram images, and want to see 9 more by clicking + button","[Venus] User see 6 instagram images, and want to see 9 more by clicking + button","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] As user I want see Product price with/without sale on product landing page","0","0","1","0","0"
"","As a customer, I can see a total count of all products represented by this product listing page. This should read ""## ITEMS"" where ""##"" represents the total count.","[Venus] User see a total count of all products represented by this product listing page. This should read ""## TOTAL ITEMS"" where ""##"" represents the total count.","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can see product images carousel and can swipe images on product landing page","0","0","1","0","0"
"","As a customer, I can see a list of products containing the following information:","[Venus] User can see a list of product with related information","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can select select qty of the product on product landing page","0","0","1","0","0"
"","As a customer, I want to click on item and be taken to appropriate PDP","[Venus] User click on item image to navigate to item PDP","0","0","1","0","0"
"","As user I want shop items by color","[Venus] ’Show all...’ Button redirects to correct PLP","0","0","1","0","0"
"","As user I want to see product landing page and interact with elements on this page","[Venus] User can select Band size on special product landing page","0","0","1","0","0"
